iter	Passed	Remaining
0	140	140815
1	244	121937
2	352	117090
3	466	116198
4	579	115353
5	683	113208
6	802	113888
7	928	115152
8	1056	116286
9	1181	117013
10	1297	116664
11	1407	115873
12	1527	115991
13	1616	113862
14	1719	112912
15	1816	111723
16	1941	112281
17	2043	111498
18	2146	110823
19	2250	110297
20	2370	110493
21	2472	109905
22	2574	109362
23	2682	109085
24	2792	108925
25	2895	108472
26	3001	108169
27	3137	108913
28	3246	108712
29	3349	108298
30	3474	108610
31	3581	108334
32	3682	107911
33	3783	107490
34	3892	107309
35	4016	107554
36	4144	107871
37	4257	107791
38	4373	107778
39	4491	107802
40	4597	107534
41	4698	107171
42	4798	106798
43	4901	106503
44	5018	106508
45	5124	106271
46	5232	106100
47	5344	105996
48	5442	105630
49	5550	105464
50	5657	105276
51	5758	104979
52	5861	104727
53	6005	105209
54	6118	105126
55	6217	104817
56	6368	105365
57	6496	105519
58	6620	105584
59	6729	105432
60	6838	105273
61	6961	105317
62	7075	105239
63	7190	105155
64	7337	105552
65	7437	105255
66	7543	105049
67	7628	104552
68	7720	104170
69	7804	103687
70	7900	103378
71	7984	102905
72	8068	102456
73	8152	102012
74	8237	101598
75	8322	101185
76	8406	100767
77	8490	100367
78	8577	99994
79	8671	99726
80	8764	99437
81	8848	99064
82	8931	98682
83	9016	98318
84	9110	98077
85	9208	97868
86	9326	97877
87	9426	97695
88	9528	97534
89	9627	97347
90	9735	97245
91	9864	97358
92	9995	97487
93	10113	97476
94	10234	97498
95	10338	97355
96	10445	97236
97	10541	97023
98	10637	96807
99	10751	96767
100	10873	96780
101	11005	96893
102	11165	97239
103	11322	97547
104	11466	97739
105	11618	97992
106	11782	98331
107	11939	98607
108	12086	98797
109	12245	99075
110	12382	99170
111	12527	99325
112	12678	99520
113	12834	99752
114	12987	99949
115	13144	100172
116	13302	100396
117	13450	100533
118	13622	100854
119	13772	101000
120	13938	101256
121	14122	101635
122	14297	101941
123	14426	101914
124	14552	101868
125	14674	101788
126	14835	101977
127	14990	102126
128	15118	102080
129	15286	102304
130	15433	102382
131	15561	102328
132	15688	102271
133	15822	102255
134	15948	102189
135	16092	102237
136	16246	102338
137	16416	102543
138	16574	102668
139	16701	102594
140	16831	102539
141	16953	102439
142	17074	102329
143	17205	102278
144	17330	102190
145	17459	102128
146	17593	102092
147	17756	102219
148	17880	102125
149	18008	102048
150	18133	101956
151	18262	101884
152	18414	101941
153	18549	101903
154	18677	101823
155	18842	101942
156	19006	102053
157	19163	102125
158	19325	102220
159	19485	102300
160	19628	102286
161	19785	102346
162	19959	102491
163	20129	102611
164	20299	102729
165	20463	102812
166	20664	103076
167	20888	103445
168	21072	103617
169	21249	103746
170	21392	103710
171	21565	103814
172	21721	103837
173	21874	103842
174	22025	103836
175	22184	103862
176	22350	103925
177	22534	104061
178	22715	104184
179	22881	104238
180	23030	104209
181	23170	104138
182	23331	104161
183	23505	104239
184	23657	104220
185	23804	104178
186	23930	104040
187	24077	103995
188	24216	103914
189	24373	103907
190	24523	103872
191	24684	103882
192	24848	103900
193	25004	103884
194	25146	103810
195	25295	103763
196	25429	103655
197	25571	103577
198	25732	103574
199	25882	103530
200	26009	103391
201	26121	103191
202	26241	103026
203	26403	103025
204	26515	102829
205	26635	102662
206	26762	102525
207	26861	102281
208	26962	102046
209	27060	101797
210	27179	101632
211	27288	101431
212	27411	101282
213	27540	101151
214	27676	101051
215	27793	100881
216	27916	100730
217	28018	100506
218	28118	100275
219	28218	100047
220	28319	99821
221	28415	99582
222	28512	99345
223	28612	99121
224	28712	98900
225	28817	98693
226	28917	98474
227	29019	98259
228	29125	98058
229	29226	97845
230	29328	97634
231	29431	97428
232	29534	97223
233	29637	97018
234	29819	97070
235	29988	97082
236	30143	97043
237	30293	96990
238	30484	97065
239	30753	97387
240	31077	97876
241	31275	97962
242	31436	97931
243	31577	97837
244	31769	97902
245	31917	97827
246	32071	97772
247	32204	97652
248	32340	97542
249	32480	97440
250	32623	97350
251	32775	97285
252	32921	97202
253	33063	97108
254	33185	96952
255	33310	96807
256	33438	96673
257	33556	96506
258	33731	96505
259	33891	96460
260	34010	96296
261	34157	96214
262	34274	96046
263	34421	95964
264	34530	95774
265	34661	95643
266	34776	95471
267	34905	95338
268	35032	95199
269	35145	95022
270	35264	94861
271	35377	94687
272	35493	94518
273	35611	94356
274	35732	94203
275	35904	94183
276	36003	93973
277	36132	93841
278	36240	93652
279	36357	93491
280	36473	93326
281	36577	93129
282	36682	92938
283	36785	92741
284	36891	92551
285	37003	92378
286	37098	92164
287	37216	92006
288	37320	91815
289	37416	91604
290	37515	91403
291	37606	91182
292	37704	90979
293	37808	90791
294	37910	90599
295	38022	90430
296	38119	90228
297	38176	89933
298	38283	89755
299	38398	89595
300	38506	89421
301	38603	89221
302	38711	89049
303	38814	88863
304	38924	88695
305	39046	88557
306	39182	88447
307	39306	88312
308	39424	88163
309	39543	88015
310	39675	87897
311	39804	87773
312	39928	87638
313	40050	87499
314	40172	87358
315	40283	87195
316	40391	87027
317	40508	86876
318	40630	86737
319	40749	86592
320	40866	86442
321	40970	86266
322	41066	86074
323	41171	85901
324	41264	85702
325	41358	85508
326	41451	85311
327	41550	85128
328	41653	84952
329	41741	84748
330	41834	84553
331	41931	84368
332	42027	84181
333	42132	84013
334	42224	83819
335	42324	83640
336	42417	83449
337	42510	83261
338	42604	83072
339	42711	82910
340	42803	82719
341	42893	82525
342	42978	82323
343	43067	82129
344	43165	81952
345	43265	81779
346	43355	81588
347	43452	81410
348	43550	81236
349	43648	81061
350	43744	80884
351	43833	80693
352	43931	80520
353	44021	80332
354	44113	80150
355	44203	79963
356	44289	79770
357	44383	79592
358	44467	79396
359	44554	79207
360	44650	79034
361	44742	78855
362	44838	78683
363	44934	78511
364	45043	78363
365	45146	78204
366	45243	78035
367	45334	77856
368	45428	77684
369	45525	77517
370	45629	77361
371	45721	77185
372	45813	77010
373	45880	76794
374	45968	76614
375	46057	76436
376	46151	76266
377	46252	76108
378	46342	75932
379	46433	75759
380	46530	75596
381	46625	75430
382	46728	75277
383	46820	75108
384	46914	74941
385	46976	74724
386	47065	74550
387	47158	74384
388	47258	74228
389	47345	74053
390	47441	73892
391	47534	73727
392	47628	73563
393	47696	73360
394	47794	73203
395	47885	73037
396	47979	72875
397	48089	72737
398	48183	72576
399	48279	72419
400	48379	72267
401	48440	72058
402	48530	71892
403	48623	71732
404	48720	71577
405	48817	71422
406	48884	71225
407	48947	71021
408	49047	70873
409	49150	70729
410	49236	70560
411	49313	70378
412	49410	70227
413	49507	70075
414	49598	69916
415	49690	69757
416	49789	69610
417	49879	69448
418	49974	69296
419	50064	69136
420	50160	68986
421	50255	68833
422	50360	68694
423	50450	68535
424	50537	68374
425	50638	68231
426	50738	68087
427	50828	67929
428	50919	67774
429	51008	67616
430	51097	67458
431	51179	67291
432	51276	67144
433	51379	67005
434	51475	66858
435	51574	66716
436	51678	66578
437	51777	66436
438	51870	66285
439	51961	66132
440	52055	65984
441	52151	65838
442	52242	65686
443	52330	65530
444	52382	65331
445	52475	65182
446	52573	65041
447	52666	64892
448	52761	64747
449	52858	64605
450	52969	64479
451	53063	64333
452	53156	64186
453	53246	64036
454	53337	63888
455	53440	63753
456	53546	63622
457	53664	63506
458	53767	63373
459	53864	63231
460	53959	63089
461	54052	62944
462	54151	62805
463	54247	62664
464	54346	62527
465	54447	62392
466	54543	62251
467	54639	62111
468	54741	61977
469	54829	61829
470	54933	61698
471	55022	61550
472	55122	61415
473	55213	61270
474	55312	61135
475	55409	60996
476	55504	60857
477	55607	60725
478	55707	60592
479	55811	60462
480	55906	60323
481	56019	60203
482	56136	60087
483	56236	59954
484	56344	59829
485	56442	59693
486	56526	59543
487	56610	59394
488	56697	59247
489	56752	59068
490	56836	58920
491	56923	58774
492	57009	58627
493	57091	58478
494	57174	58329
495	57252	58176
496	57335	58027
497	57418	57880
498	57503	57734
499	57565	57565
500	57652	57421
501	57710	57250
502	57794	57105
503	57874	56955
504	57959	56811
505	58043	56667
506	58121	56516
507	58204	56371
508	58287	56226
509	58370	56081
510	58406	55891
511	58490	55748
512	58577	55608
513	58656	55460
514	58747	55325
515	58828	55180
516	58912	55038
517	58991	54891
518	59046	54722
519	59129	54580
520	59206	54433
521	59316	54317
522	59445	54216
523	59579	54121
524	59712	54026
525	59838	53922
526	59961	53817
527	60115	53739
528	60273	53664
529	60409	53570
530	60560	53489
531	60698	53396
532	60828	53296
533	60959	53196
534	61100	53106
535	61278	53046
536	61463	52993
537	61684	52970
538	61858	52906
539	62012	52825
540	62181	52756
541	62351	52688
542	62520	52618
543	62738	52589
544	62934	52541
545	63093	52462
546	63238	52371
547	63380	52277
548	63526	52186
549	63670	52093
550	63805	51994
551	63885	51848
552	64041	51765
